SecurityID,SecurityName,DistributionAmount,Currency,ExDate,PayDate,Source,Created_at
,,,CHF,28.07.2026,,manual,28.07.2026 07:06:36
10,iShares Swiss Dividends,0.76,CHF,21.07.2026,23.07.2026,manual,28.07.2026 07:06:49
10,iShares Swiss Dividends,0.5,CHF,11.05.2026,13.05.2026,manual,28.07.2026 07:07:22
10,iShares Swiss Dividends,1.04,CHF,20.04.2026,22.04.2026,manual,28.07.2026 07:58:02
10,iShares Swiss Dividends,0.92,CHF,14.04.2026,16.04.2026,manual,28.07.2026 07:59:41
10,iShares Swiss Dividends,1.74,CHF,10.04.2026,14.04.2026,manual,28.07.2026 08:00:08
10,iShares Swiss Dividends,0.8,CHF,12.03.2026,16.03.2026,manual,28.07.2026 08:00:25
10,iShares Swiss Dividends,0.78,CHF,10.03.2026,12.03.2026,manual,28.07.2026 08:00:44
10,iShares Swiss Dividends,0.74,CHF,15.07.2025,17.07.2025,manual,28.07.2026 08:01:02
31,iShares Core MSCI Europe UCITS ETF EUR Dist,0.4272,EUR,21.05.2026,29.05.2026,manual,28.07.2026 08:29:46
