SecurityID,SecurityName,Currency,NetAssets,ExpenseRatio,Category,EquityPct,BondPct,CashPct,Sector_realestate,Sector_consumer_cyclical,Sector_basic_materials,Sector_consumer_defensive,Sector_technology,Sector_communication_services,Sector_financial_services,Sector_utilities,Sector_industrials,Sector_energy,Sector_healthcare,Source,Created_at
10,iShares Swiss Dividends,CHF,,,,,,,0.0,0.0,0.1722,0.1509,0.0022,0.0,0.3504,0.0039,0.0165,0.0,0.3039,Yahoo Finance (Fund Data),02.08.2026 07:19:18
11,iShares Core MSCI EM IMI UCITS ETF (EIMI),USD,,,,,,,0.0149,0.0771,0.0579,0.0278,0.4352,0.0561,0.1724,0.0188,0.0771,0.030299999,0.0325,Yahoo Finance (Fund Data),02.08.2026 07:19:18
12,UBS ETF (CH) SMIM,CHF,,,,,,,0.060300004,0.0505,0.0217,0.0847,0.0117,0.0094,0.122700006,0.0,0.2757,0.0,0.3632,Yahoo Finance (Fund Data),02.08.2026 07:19:18
13,Vanguard S&P 500 UCITS ETF,USD,,,,,,,0.0183,0.0951,0.0166,0.045300003,0.38619998,0.0992,0.113900006,0.022,0.0846,0.0298,0.088999994,Yahoo Finance (Fund Data),02.08.2026 07:19:18
14,Xtrackers S&P 500 Equal Weight UCITS ETF (XDEW),USD,,,,,,,0.0592,0.1091,0.039100002,0.0634,0.173,0.0396,0.1388,0.0627,0.157,0.038399998,0.119799994,Yahoo Finance (Fund Data),02.08.2026 07:19:18
15,VanEck S&P Global Mining UCITS ETF (GDIG),USD,,,,,,,0.0,0.0,0.9428,0.0,0.0081,0.0,0.0,0.0,0.011,0.0381,0.0,Yahoo Finance (Fund Data),02.08.2026 07:19:18
17,iShares Core MSCI Japan IMI UCITS ETF,USD,,,,,,,0.03,0.1201,0.0431,0.0398,0.22729999,0.0696,0.16139999,0.0113,0.2368,0.0078,0.052699998,Yahoo Finance (Fund Data),02.08.2026 07:19:18
18,iShares MSCI EMU Small Cap ETF (CSEMUS),EUR,,,,,,,0.0806,0.1333,0.098500006,0.025799999,0.098400004,0.0353,0.094,0.0361,0.2917,0.0551,0.0512,Yahoo Finance (Fund Data),02.08.2026 07:19:18
31,iShares Core MSCI Europe UCITS ETF EUR Dist,EUR,,,,,,,0.0073,0.062800005,0.0525,0.0862,0.101,0.0347,0.2387,0.0476,0.1927,0.044,0.1325,Yahoo Finance (Fund Data),02.08.2026 07:19:18
32,iShares Core MSCI Pacific ex Japan,USD,,,,,,,0.0716,0.0692,0.1579,0.0318,0.0099,0.0257,0.45069999,0.0347,0.0865,0.024600001,0.0375,Yahoo Finance (Fund Data),02.08.2026 07:19:18
33,iShares Core FTSE 100,EUR,,,,,,,0.010199999,0.0508,0.0802,0.143,0.0092,0.0231,0.2595,0.0493,0.1381,0.099300005,0.1372,Yahoo Finance (Fund Data),02.08.2026 07:19:18
