SecurityID,SecurityName,Currency,MarketCap,PE_Trailing,PE_Forward,PB_Ratio,EPS_Trailing,EPS_Forward,DividendPayoutRatio,ExDividendDate,EarningsDate,RecommendationMean,RecommendationKey,NumberOfAnalysts,PriceTargetLow,PriceTargetMean,PriceTargetHigh,PriceTargetMedian,Source,Created_at
20,Apple Inc.,USD,4537070911488,35.46613,32.4805,42.549587,8.71,9.51063,0.1204,10.08.2026,29.10.2026,2.04348,buy,41,215.0,323.28195,400.0,330.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
1,Nestlé SA,CHF,208375545856,28.031141,16.97999,6.351235,2.89,4.77091,1.0727,20.04.2026,,2.18182,buy,22,69.0,88.87273,102.0,90.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
19,Amazon,USD,2921415835648,21.83119,26.441229,6.6089115,12.44,10.27108,,,29.10.2026,1.35484,strong_buy,61,207.0,321.94983,400.0,320.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
21,Microsoft,USD,3450799652864,25.904123,19.964653,7.8018975,17.94,23.27714,0.1983,20.08.2026,28.10.2026,1.35088,strong_buy,54,400.0,563.0463,870.0,550.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
22,Nvidia,USD,4862365925376,30.789877,15.573568,24.876085,6.52,12.89043,0.0061000003,04.06.2026,26.08.2026,1.29508,strong_buy,58,180.0,302.82758,500.0,300.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
23,Lonza Group AG,CHF,39266426880,36.224228,25.596384,4.8310175,15.52,21.96404,0.32279998,12.05.2026,,1.54167,buy,23,550.0,680.6957,835.0,670.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
24,UBS Group AG,CHF,139470602240,32.984497,12.404995,1.8246082,1.29,3.43007,0.6951,21.04.2026,28.10.2026,2.47059,buy,17,33.99,42.91118,60.0,41.6,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
25,Vonovia,EUR,17842591744,5.2972293,10.899084,0.645389,3.97,1.92952,0.3073,22.05.2026,05.08.2026,1.75,buy,16,19.0,31.125,52.9,30.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
26,Alphabet (Google Class C),USD,4361806151680,17.886158,24.205212,7.0074267,19.94,14.73443,0.042600002,04.09.2026,28.10.2026,1.39683,strong_buy,14,340.0,421.78857,475.0,425.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
27,SpaceX,USD,1427686686720,,120.01108,18.195099,-0.67,0.903,,,04.08.2026,1.64706,buy,21,62.0,236.7143,800.0,225.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
30,Partners Group Holding AG,CHF,17326268416,13.869968,14.158317,7.9216323,48.45,47.46327,0.8669,22.05.2026,01.09.2026,2.46154,buy,13,680.0,825.0,1050.0,830.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
37,Richemont SA,CHF,112237797376,34.835766,24.210085,5.021596,5.48,7.8851438,0.5459,16.09.2026,22.05.2026,1.92308,buy,26,139.83403,210.02097,245.52734,218.88277,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
38,Sika Ltd,CHF,29175877632,28.106647,22.003351,4.2815437,6.47,8.26465,0.571,26.03.2026,,1.86364,buy,22,150.0,196.45454,250.0,198.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
39,Alcon AG,CHF,27008827392,40.72059,15.69834,1.4948573,1.36,3.5277615,0.2039,05.05.2026,10.08.2026,1.53846,buy,17,47.83441,76.29902,89.41955,78.72796,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
40,Helvetia Baloise Holding AG,CHF,21476835328,21.007753,16.750498,1.6515075,10.32,12.9429,0.64919996,27.05.2026,17.09.2026,,none,8,190.0,231.3625,267.0,235.0,Yahoo Finance (Fundamentals),02.08.2026 07:02:14
